排 名,山 峰,高 度（单位米）,山 脉,地 区,主 峰,首次登峰,登峰次数（尝试次数）,经度,纬度
22,玛夏布洛姆峰,7821,玛夏布洛姆 喀喇昆仑,喀什米尔（巴基斯坦）,加舒尔布鲁木I峰,1960,4（9）,76.30583,35.64111
23,楠达德维山,7816,Kumaon 喜马拉雅,印度,道拉吉里峰,1936,14（12）,79.97083,30.37667
24,珠穆隆索峰,7804,马哈兰格·喜玛尔 喜马拉雅,中国,马卡鲁峰,1954,3（1）,87.10806,27.93
25,巴托拉峰,7795,巴托拉·木孜塔格山 喀喇昆仑,巴基斯坦,迪斯特吉峰,1976,4（6）,74.52417,36.51
26,拉卡波希峰,7788,Rakaposhi-Haramosh 喀喇昆仑,巴基斯坦,昆扬基什峰,1958,8（13）,74.48917,36.1425
27,南迦巴瓦峰,7782,Assam 喜马拉雅,中国,干城章嘉峰,1992,1（2）,95.05528,29.63056
28,坎巨提峰,7760,希斯帕慕士塔格山脉 喀喇昆仑,巴基斯坦,昆扬基什峰,1959,2（1）,75.41778,36.205
29,卡密特山,7756,Garhwal 喜马拉雅,印度,楠达德维山,1931,23（14）,79.59167,30.92
30,道拉吉里II峰,7751,道拉吉里峰喜马拉雅,尼泊尔,道拉吉里I峰,1971,4（11）,83.38722,28.76278
31,萨尔托洛岗日峰,7742,萨尔托洛山脉 喀喇昆仑,喀什米尔,加舒尔布鲁木I峰,1962,2（1）,76.8475,35.39917
32,贾奴峰,7711,干城章嘉喜马拉雅,尼泊尔,干城章嘉峰,1962,17（12）,88.04333,27.68167
33,蒂里杰米尔峰,7708,兴都库什,巴基斯坦,巴托拉峰,1950,20（11）,71.84167,36.25528
,摩拉门青峰,7703,Langtang 喜马拉雅,中国,希夏邦马峰,1981,1（0）,85.81083,28.35472
34,纳木那尼峰,7694,Nalakankar 喜马拉雅,中国,道拉吉里峰,1985,6（4）,81.29806,30.43806
35,莎瑟峰 I,7672,Saser 喀喇昆仑,喀什米尔（印度）,加舒尔布鲁木I峰,1973,6（4）,77.7525,34.86667
36,乔戈里萨峰,7665,玛夏布洛姆 喀喇昆仑,喀什米尔（巴基斯坦）,玛夏布洛姆峰,1975,4（2）,76.57167,35.61167
,道拉吉里IV峰,7661,道拉吉里峰喜马拉雅,尼泊尔,道拉吉里II峰,1975,2（10）,83.31528,28.73583
37,公格尔峰,7649,公格尔山昆仑山脉,中国,迪斯特吉峰,1981,2（4）,75.31333,38.59333
,道拉吉里V峰,7618,道拉吉里峰喜马拉雅,尼泊尔,道拉吉里IV峰,1975,2（3）,83.36139,28.73389
38,喜士帕尔峰,7611,巴托拉·木孜塔格山 喀喇昆仑,喀什米尔（巴基斯坦）,巴托拉峰,1974,3（1）,74.68083,36.44056
39,Trvior,7577,库拉冈日峰 喀喇昆仑,喀什米尔（巴基斯坦）,迪斯特吉峰,1960,2（5）,75.08611,36.2875
40,干卡本森峰,7570,库拉冈日峰 喜马拉雅,不丹／中国,干城章嘉峰,unclimbed,0（3）,90.45583,28.04667
41,贡嘎山,7556,大雪山,中国,贡嘎山,1932,6（7）,101.8797,29.59528
42,安纳普那III峰,7555,安纳普那喜马拉雅,尼泊尔,安纳普那I峰,1961,10（17）,83.99111,28.58472
43,斯坎格里峰,7545,巴尔托洛慕士塔格山 喀喇昆仑,巴基斯坦／中国,乔戈里峰,1976,1（2）,76.5675,35.92639
44,章子峰,7543,马哈兰格·喜玛尔 喜马拉雅,中国,珠穆朗瑪峰,1982,9（9）,86.90861,28.02472
45,库拉岗日峰,7538,Kula Kangri 喜马拉雅,中国,Gangkhar Puensum,1986,3（2）,90.615,28.22611
